Center	PLP	BLB	PLP dominance	BLB dominance
-2.3	0.000277	0.006693	3.970484	96.029516
-2.1	0.002293	0.01917	10.682448	89.317552
-1.9	0.006957	0.065791	9.563585	90.436415
-1.7	0.018816	0.22108	7.843565	92.156435
-1.5	0.053682	0.403026	11.754158	88.245842
-1.3	0.044669	0.350394	11.306889	88.693111
-1.1	0.0623	0.300597	17.167394	82.832606
-0.9	0.059691	0.304227	16.402315	83.597685
-0.7	0.067044	0.334853	16.681773	83.318227
-0.5	0.055817	0.175367	24.143942	75.856058
-0.3	0.070799	0.204179	25.747139	74.252861
-0.1	0.071945	0.195331	26.917936	73.082064
0.1	0.12709	0.287552	30.650573	69.349427
0.3	0.218484	0.330089	39.827731	60.172269
0.5	0.342452	0.383176	47.193877	52.806123
0.7	0.661343	0.442614	59.906578	40.093422
0.9	0.904969	0.428776	67.851745	32.148255
1.1	1.032968	0.272692	79.114617	20.885383
1.3	0.602206	0.138615	81.289024	18.710976
1.5	0.244456	0.069648	77.826523	22.173477
1.7	0.132387	0.037206	78.06166	21.93834
1.9	0.096889	0.011457	89.425785	10.574215
2.1	0.053761	0.010096	84.190398	15.809602
2.3	0.033878	0.005331	86.402728	13.597272
2.5	0.007471	0.001361	84.588706	15.411294
2.7	0.019805	0.000681	96.677639	3.322361
2.9	0.00755	0	100	0
